Driver ID,Idle Percent,Efficiency (MPG),Harsh Events,Safety Score
7474515,5.82,6.8,0,98
12447713,5.48,7.22,0,96
12979263,6.0,6.69,0,98
5967803,5.84,6.34,1,98
24651743,17.53,6.99,0,96
31773564,3.63,7.58,1,96
4400411,4.89,7.97,0,95
4400321,8.88,7.08,0,97
6009333,11.85,6.95,0,86
14591296,4.49,6.79,0,93
4400426,6.77,6.45,0,81
4400382,6.54,6.28,0,89
15635457,1.62,6.39,0,95
23511908,1.26,7.44,1,87
23742446,5.8,6.32,0,32
32339998,14.88,6.91,0,88
33559688,11.02,6.99,0,82
17590835,13.98,6.95,0,81
4400298,11.94,7.05,2,98
31239131,5.41,6.86,0,92
4400308,0.94,6.78,0,95
4400414,5.88,6.37,0,65
23461722,22.11,6.96,0,79
26230530,11.81,6.84,0,97
17027620,16.41,6.78,0,92
12447030,12.84,6.43,0,77
25299132,12.51,6.97,1,88
6684835,4.12,6.0,1,75
31930021,13.01,6.93,1,85
24776394,8.84,6.53,0,53
7841173,13.74,6.71,0,73
36022239,14.96,6.2,0,60
23561092,10.84,6.39,0,91
7258913,6.79,7.04,2,90
26224652,13.83,6.52,0,57
13683043,11.42,6.48,0,40
6673320,8.66,6.29,0,80
4400296,2.37,6.0,2,59
4400415,3.74,6.29,1,85
4400384,19.44,6.17,0,92
6009101,18.89,6.84,0,71
5959732,10.09,6.07,0,78
4400361,1.64,6.51,1,95
4400331,12.37,5.96,1,63
6464661,12.2,6.87,0,94
20112303,10.61,6.81,1,93
23512251,20.42,6.89,1,82
4400418,21.27,5.45,0,72
5318372,6.67,6.68,3,62
24130308,23.54,6.44,1,28
12448070,6.99,6.62,3,85
23798503,11.94,4.94,0,48
24130082,11.1,5.48,0,63
4400379,10.75,5.42,0,91
12080713,12.46,5.94,2,73
20191370,6.55,6.1,2,67
4400336,6.92,6.09,3,83
4856561,16.51,6.52,1,89
22240646,25.13,6.55,0,77
16756127,8.44,5.82,0,94
37287130,17.11,6.94,2,91
6836387,11.32,6.04,1,25
7597440,4.92,5.8,1,51
7597375,11.72,6.64,1,40
6009250,17.56,6.71,1,78
5960026,12.77,6.55,1,69
4400390,21.63,5.56,0,92
35566563,7.42,6.11,6,83
32339585,15.43,6.6,6,92
31217896,10.84,6.82,2,63
27496357,24.72,4.87,0,90
4400377,16.91,6.01,4,20
29756384,11.96,5.8,1,89
4400373,11.22,5.62,1,89
36036670,10.27,6.54,10,59
32667161,15.93,6.67,4,79
4400342,12.76,6.34,7,34
4856558,3.05,5.65,2,84
4400291,19.45,6.16,5,73
12448491,13.85,6.14,5,19
30352475,11.25,6.27,6,62
24775008,10.07,6.36,4,80
4400400,20.75,6.02,3,53
6464683,9.33,6.14,2,59
6957490,13.99,6.14,8,46
5959918,8.68,6.26,2,34
23797712,15.79,6.21,7,33
4400396,10.17,6.06,2,47
4400282,7.35,6.42,5,0
21578797,11.36,6.16,4,20
7597371,11.19,6.59,5,19
12448384,9.87,6.62,2,81
6465006,17.12,5.42,26,60
14781391,31.65,6.36,2,78
14965769,18.24,5.62,2,25
24129844,22.45,5.37,7,0
4400381,15.98,5.58,7,67
23792167,12.95,5.79,2,23
6487967,19.94,5.84,2,76
26398043,7.98,5.47,4,36
